Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "PUT /message/edit/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "PUT /message/edit/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "PUT /message/edit/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "PUT /message/edit/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "PUT /message/edit/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "PUT /message/edit/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "PUT /message/edit/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInRva2VuX2NvdW50IjoyfQ.KkzC8p4cl6ZUZWwf07enm_n2irfYjwqulFc3IYVIric&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&dm_id=-2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:03] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:05] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:05] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:05] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInRva2VuX2NvdW50IjoyfQ.KkzC8p4cl6ZUZWwf07enm_n2irfYjwqulFc3IYVIric&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:05] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:05] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&dm_id=-2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:05] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:06] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:06] "POST /message/sendlater/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:06] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:06] "POST /message/sendlaterdm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&dm_id=-2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /dm/messages/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&dm_id=-2&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&dm_id=-2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&dm_id=-2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/pin/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /message/react/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInRva2VuX2NvdW50IjoxfQ.pNpOMMwRiA1qGL9S4BjJMiayN2zmX9jpRY4jF0_C1H4&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjAsInRva2VuX2NvdW50IjowfQ.ENfNLfWkOx8Egc5UAv0IU0qod2zp65naglAsauv8r9w&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 16:32:08] "POST /auth/register/v2 HTTP/1.1" 200 -
